round,teams,date_time,result
'27','Atlético-GO x Juventude','2023-09-10T15:45','3 x 0'
'27','CRB x Vitória','2023-09-10T18:00','6 x 0'
'27','Avaí x Novorizontino','2023-09-11T20:30','1 x 0'
'26','Novorizontino x Ituano','2023-08-30T19:00','2 x 0'
'26','Juventude x Chapecoense','2023-08-31T21:30','0 x 0'
'26','Vitória x Mirassol','2023-09-01T19:15','0 x 0'
'26','Londrina x Tombense','2023-09-01T21:30','1 x 1'
'26','Avaí x Atlético-GO','2023-09-02T15:30','0 x 2'
'26','Ceará x Criciúma','2023-09-02T17:00','1 x 0'
'26','ABC x Sampaio Corrêa','2023-09-02T17:00','1 x 1'
'26','Guarani x Ponte Preta','2023-09-02T18:00','1 x 0'
'26','Vila Nova x CRB','2023-09-03T15:45','0 x 1'
'26','Botafogo-SP x Sport','2023-09-03T18:00','1 x 1'
'25','Mirassol x Juventude','2023-08-22T19:00','0 x 1'
'25','Criciúma x Vila Nova','2023-08-22T21:30','1 x 0'
'25','Ponte Preta x Londrina','2023-08-25T19:00','1 x 0'
'25','Sport x Ituano','2023-08-25T21:30','1 x 2'
'25','Sampaio Corrêa x Guarani','2023-08-26T17:00','1 x 1'
'25','Tombense x Ceará','2023-08-26T17:00','2 x 2'
'25','CRB x Novorizontino','2023-08-26T18:00','1 x 0'
'25','Chapecoense x Avaí','2023-08-27T15:45','0 x 0'
'25','Atlético-GO x Vitória','2023-08-27T18:00','0 x 0'
'25','Botafogo-SP x ABC','2023-08-28T20:00','0 x 0'
'24','Londrina x Atlético-GO','2023-08-17T19:00','0 x 2'
'24','Vila Nova x Mirassol','2023-08-17T21:30','2 x 0'
'24','Vitória x Botafogo-SP','2023-08-18T19:00','2 x 0'
'24','Guarani x Sport','2023-08-18T21:30','3 x 1'
'24','Avaí x Tombense','2023-08-19T15:30','4 x 2'
'24','Ituano x Criciúma','2023-08-19T17:00','3 x 0'
'24','ABC x CRB','2023-08-19T17:00','1 x 2'
'24','Juventude x Sampaio Corrêa','2023-08-19T18:00','0 x 0'
'24','Novorizontino x Chapecoense','2023-08-20T15:45','1 x 2'
'24','Ceará x Ponte Preta','2023-08-20T18:00','1 x 1'
'23','Novorizontino x Mirassol','2023-08-11T19:00','2 x 1'
'23','Tombense x Sport','2023-08-11T21:30','0 x 0'
'23','Criciúma x Londrina','2023-08-12T15:30','2 x 0'
'23','Botafogo-SP x Ponte Preta','2023-08-12T17:00','0 x 0'
'23','Sampaio Corrêa x CRB','2023-08-12T17:00','1 x 1'
'23','Vila Nova x Avaí','2023-08-12T18:00','1 x 1'
'23','Chapecoense x Atlético-GO','2023-08-13T11:00','0 x 1'
'23','Guarani x Juventude','2023-08-13T15:45','0 x 1'
'23','Vitória x Ceará','2023-08-13T18:00','1 x 0'
'23','ABC x Ituano','2023-08-14T20:00','1 x 1'
'22','Mirassol x Sampaio Corrêa','2023-08-04T21:30','0 x 0'
'22','Avaí x Criciúma','2023-08-05T15:30','1 x 0'
'22','Ituano x Guarani','2023-08-05T17:00','1 x 1'
'22','CRB x Botafogo-SP','2023-08-05T17:00','0 x 0'
'22','Sport x Novorizontino','2023-08-05T18:00','1 x 0'
'22','Ponte Preta x Chapecoense','2023-08-06T15:30','1 x 0'
'22','Ceará x ABC','2023-08-06T18:00','1 x 0'
'22','Juventude x Vila Nova','2023-08-07T18:00','0 x 2'
'22','Atlético-GO x Tombense','2023-08-07T20:00','3 x 2'
'22','Londrina x Vitória','2023-08-07T20:00','2 x 0'
